Product_Name, Price 
HP DeskJet 3835 All-in-One Ink Advantage Wireless Colour Printer (Black),Rs.6999.00
Canon Pixma E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),Rs.4299.00
Canon Pixma E410 All-in-One Inkjet Printer (Black),Rs.4145.00
Canon Pixma E470 All-in-One Inkjet Printer (Black),Rs.4499.00
Canon E510 Multi-Function Ink Efficient Colour Printer,Rs.6123.00
Canon Pixma TS3370s All-in-One Wireless Inkjet Color Printer (Black),Rs.4990.00
Canon TS8270 Multifunction Wireless All in one Printer (Red),Rs.18720.00
Canon Pixma iX6770 Single Function Inkjet Printer (Black),Rs.16211.00
Canon Pixma G3000 All-in-One Wireless Ink Tank Colour Printer,Rs.12999.00
Canon Pixma G2012 All-in-One Ink Tank Colour Printer (Black),Rs.10999.00
Epson EcoTank L3150 Wi-Fi All-in-One Ink Tank Printer (Black),Rs.12599.00
Epson EcoTank L3110 All-in-One Ink Tank Printer (Black),Rs.10299.00
Epson L130 Single-Function Ink Tank Colour Printer,Rs.7548.00
HP 419 All-in-One Wireless Ink Tank Color Printer (Black),Rs.12899.00
HP 115 Color Single Function Ink Tank Printer,Rs.6449.00
Epson M200 All-in-One Ink Tank Printer,Rs.13999.00
Epson L6190 Wi-Fi Duplex All-in-One Ink Tank Printer with ADF,Rs.26900.00
Epson M100 Monochorome Inkjet Printer,Rs.9864.00
Canon Pixma G2010 All-in-One Ink Tank Colour Printer (Black),Rs.12000.00
Epson L1300 A3 4 Color Printer (Black),Rs.25399.00
Epson M2140 EcoTank Monochrome All-in-One Duplex Ink Tank Printer  (White),Rs.15857.00
EPSON L3115 Color A4 All in ONE Printer,Rs.10497.00
EPSON L3116 Color A4 All in ONE Printer,Rs.10662.00
Brother MFC-T910DW All-in One Inktank Refill System (Black),Rs.21899.00
HP Smart Tank 530 AiO Printer,Rs.16499.00
Epson M1120 EcoTank Monochrome Wi-Fi Ink Tank Printer (White),Rs.11900.00
Epson M1100 EcoTank Monochrome InkTank Printer (White),Rs.11900.00
HP Laserjet Pro M126nw Multi-Function Monochrome Laser Printer,Rs.15899.00
HP 1020 Plus Single Function Monochrome Laser Printer,Rs.11999.00
Brother HL-L2321D Single-Function Monochrome Laser Printer with Auto Duplex Printing,Rs.7999.00
HP Laserjet P1108 Single Function Monochrome Laser Printer,Rs.9899.00
Brother DCP-L2541DW Multi-Function Wireless Monochrome Laser Printer with Network & Auto Duplex Prin,Rs.19085.00
Brother DCP-L2520D Multi-Function Monochrome Laser Printer with Auto-Duplex Printing,Rs.13048.00
Brother DCP-B7500D Multi-Function Centre with Automatic 2-Sided Printing,Rs.14200.00
Pantum P2200 Laser Printer (Grey),Rs.6394.00
Brother DCP-B7535DW WirelessMulti-Function Centre with Automatic 2-Sided Printing(Gray),Rs.18582.00
HP Laser 103a Single Function Monochrome Laser Printer,Rs.9999.00
Pantum P2500W Laser Printer (Black),Rs.7690.00
HP Neverstop Laser Multi-Function (Print| Scan|Copy) Wireless Printer| Model# 1200w,Rs.19390.00
Xerox Work Centre 3025V_BI Multi-Function Wireless Printer,Rs.12999.00
Brother HL-L2366DW Monochrome Laser Printer with Wi-fi| Network & Auto Duplex Prin,Rs.12191.00
Brother HL-L2351DW Mono Laser Printer (Black),Rs.10641.00
Brother Solutions Centre MFC L2701DW Mono Multifunction Laser Printer,Rs.19527.00
Brother DCP-L2531DW Mono Laser Multi-Function Printer (Black),Rs.15161.00
Epson TM-T82II (USB+Serial POS Printer),Rs.12899.00
HP Color Laserjet Pro M154A Printer,Rs.24590.00
Brother DCP-L5600DN Monochrome Multifunction Laser Printer with Auto Duplex Printing & Netw,Rs.34375.00
